class,module,npm_install,jelly_exit,seconds,note
path-traversal,cuciuci_1.1.0,ok,0,0.38,
path-traversal,cuiaiguang_1.0.0,ok,0,0.39,
path-traversal,cxy_1.1.0,ok,0,0.39,
path-traversal,cyber-js_1.0.6,ok,0,0.39,
path-traversal,cypserver_1.0.0,ok,0,0.39,
path-traversal,datachannel-client_1.0.2,ok,0,0.39,
path-traversal,dcdcdcdcdc_1.0.0,ok,0,0.39,
path-traversal,der-server_0.0.9,ok,0,0.40,
path-traversal,dilu_0.1.3,ok,0,0.39,
path-traversal,dylmomo_1.0.0,ok,0,0.39,
path-traversal,easy-node-server_1.2.1,ok,0,0.41,
path-traversal,ex-http-frame_1.0.2,ok,0,0.39,
path-traversal,express-blinker_0.0.6,ok,0,0.59,
path-traversal,exxxxxxxxxxx_1.0.2,ok,0,0.39,
path-traversal,fakelearnnodejs_0.0.1,ok,0,0.39,
path-traversal,fast-http_0.1.3,ok,0,0.42,
path-traversal,fast-http-cli_0.0.8,ok,0,0.39,
path-traversal,fbr-client_1.0.3,ok,0,0.39,
path-traversal,file-static-server_1.0.2,ok,0,0.39,
path-traversal,fsk-server_0.2.1,ok,0,0.39,
path-traversal,gamebutler_1.0.4,ok,0,0.38,
path-traversal,gaoxiaotingtingting_1.1.0,ok,0,0.39,
path-traversal,gaoxuyan_1.1.0,ok,0,0.39,
path-traversal,getstats_1.0.6,ok,0,0.39,
path-traversal,gfm-srv_1.1.2,ok,0,0.39,
path-traversal,glance_3.0.0,ok,0,0.57,
path-traversal,goserv_1.0.0,ok,0,0.39,
path-traversal,gyfserver_1.0.0,ok,0,0.39,
path-traversal,hangersteak_0.2.2,ok,0,0.53,
path-traversal,hdsdhhksjd_1.0.0,ok,0,0.39,
path-traversal,hftp_0.0.6,ok,0,0.39,
path-traversal,hostr_2.0.0,ok,0,0.39,
path-traversal,httpea_3.0.4,ok,0,0.39,
path-traversal,http-file-server_0.2.6,ok,0,0.39,
path-traversal,http-live-simulator_1.0.0,ok,0,0.39,
path-traversal,infraserver_0.0.1,ok,0,0.39,
path-traversal,intsol-package_1.0.0,ok,0,0.38,
path-traversal,isv-http_0.0.9,ok,0,0.63,
path-traversal,lander_1.0.0,ok,0,0.40,
path-traversal,lessindex_1.0.0,ok,0,0.39,
path-traversal,lihuini_1.0.0,ok,0,0.39,
path-traversal,liuyaserver_1.0.0,ok,0,0.38,
path-traversal,liyujing_1.1.0,ok,0,0.39,
path-traversal,ljjnodeserve_1.0.0,ok,0,0.39,
path-traversal,looppake_3.0.0,ok,0,0.39,
path-traversal,ltt_1.1.0,ok,0,0.39,
path-traversal,ltt.js_1.0.0,ok,0,0.38,
path-traversal,lzl123_1.1.0,ok,0,0.39,
path-traversal,mcstatic_0.0.20,ok,0,0.39,
path-traversal,mfrs_1.0.0,ok,0,0.39,
path-traversal,mfrserver_1.0.0,ok,0,0.39,
path-traversal,m-server_1.4.0,ok,0,0.39,
path-traversal,myprolyz_1.1.0,ok,0,0.39,
path-traversal,myserve111_1.1.2,ok,0,0.39,
path-traversal,my-sn_1.0.1,ok,0,0.39,
path-traversal,nitro-server_1.3.3,ok,0,2.11,
path-traversal,nodeaaaaa_1.3.0,ok,0,0.39,
path-traversal,node-cxc_1.0.0,ok,0,0.39,
path-traversal,node-http-server_8.1.2,ok,0,0.44,
path-traversal,nodejsccc_1.0.0,ok,0,0.39,
path-traversal,node-simple-router_0.10.0,ok,0,0.62,
path-traversal,node-srv_2.0.0,ok,0,0.71,
path-traversal,node-staticserver_1.0.3,ok,0,0.45,
path-traversal,node-static-webserver_0.0.1,ok,0,0.41,
path-traversal,nopach_0.1.1,ok,0,0.39,
path-traversal,open-device_4.0.1,ok,0,0.39,
